,date,quantity,suppliers_currency,transformer_unit_price,dry_or_oil,rated_power_kVA,primary_winding,secondary_winding,no_load_loss,full_load_loss_75,full_load_loss_120,rated_volt_primary_side
84,2020-10-05,1.0,EUR,206000.0,Oil,6500.0,Copper,Copper,11750.0,76000.0,64728.195381924204,20000.0
99,2020-06-10,26.0,EUR,99000.0,Dry,6000.0,Copper,Copper,7384.28561249589,51399.16901000577,59840.67397498158,33000.0
103,2022-09-09,2.0,EUR,37250.0,Oil,1800.0,Copper,Aluminum,2400.0,14500.0,18785.49415666358,10000.0
104,2022-09-09,1.0,EUR,30710.0,Oil,1500.0,Copper,Aluminum,1877.0,12429.0,15852.981312498006,10000.0
105,2022-09-09,2.0,EUR,11340.0,Oil,250.0,Copper,Copper,468.0,3400.0,3634.1777951414574,10000.0
109,2023-02-10,2.0,EUR,580000.0,Oil,15000.0,Copper,Copper,16000.0,110000.0,147816.05929994874,10300.0
110,2023-02-10,0.0,EUR,5500.0,Oil,15000.0,Copper,Copper,16000.0,110000.0,147816.05929994874,10300.0
111,2021-09-09,2.0,EUR,34500.0,Dry,1600.0,Aluminum,Aluminum,3500.0,12000.0,16830.48559388653,20000.0
112,2021-09-09,1.0,EUR,36600.0,Dry,1400.0,Aluminum,Aluminum,3900.0,16668.82202640351,14000.0,20000.0
113,2021-09-09,1.0,EUR,51000.0,Dry,3000.0,Aluminum,Aluminum,6000.0,22000.0,30515.545533325865,20000.0
114,2021-09-09,1.0,EUR,23500.0,Dry,630.0,Aluminum,Aluminum,1900.0,10855.26394436574,7348.6940644178485,20000.0
115,2021-11-03,10.0,EUR,265000.0,Dry,12000.0,Aluminum,Copper,21000.0,96699.62159731306,118490.93085829302,21000.0
116,2021-11-03,10.0,EUR,210000.0,Oil,12000.0,Copper,Copper,11000.0,78000.0,118490.93085829302,21000.0
118,2021-07-29,10.0,EUR,195000.0,Oil,12000.0,Copper,Copper,6000.0,84000.0,118490.93085829302,21000.0
120,2022-08-22,2.0,EUR,629000.0,Oil,12000.0,Copper,Copper,19000.0,180000.0,118490.93085829302,20000.0
121,2022-08-22,1.0,EUR,301000.0,Oil,12000.0,Copper,Copper,9000.0,88000.0,88000.0,20000.0
123,2021-09-02,1.0,EUR,139000.0,Dry,6113.0,Aluminum,Aluminum,9600.0,40000.0,60945.253812950614,6000.0
124,2021-09-02,1.0,EUR,75000.0,Dry,2039.0,Aluminum,Aluminum,5500.0,20000.0,21121.72938918215,6000.0
125,2021-08-26,12.0,EUR,215000.0,Dry,5400.0,Aluminum,Aluminum,11500.0,26000.0,53975.64828665044,21000.0
126,2021-08-26,12.0,EUR,175000.0,Oil,10800.0,Aluminum,Aluminum,6100.0,82000.0,106760.87948163072,21000.0
127,2021-11-03,5.0,EUR,216000.0,Dry,5400.0,Aluminum,Aluminum,9000.0,25000.0,53975.64828665044,30000.0
128,2022-08-15,5.0,EUR,81000.0,Dry,1325.0,Aluminum,Aluminum,3700.0,15000.0,14142.34882006809,6800.0
129,2022-08-15,1.0,EUR,70000.0,Dry,1000.0,Aluminum,Aluminum,2700.0,10000.0,10965.459905555386,6800.0
