,date,quantity,transformer_unit_price,rated_power_kVA,no_load_loss,full_load_loss_75,full_load_loss_120,rated_volt_primary_side,alu_price_per_kg,alu_price_per_kg_30d_diff,copper_price_per_kg,copper_price_per_kg_30d_diff,dry_or_oil_Oil,primary_winding_Copper,secondary_winding_Copper,log_no_load_loss
70,2022-04-06,10.0,852000.0,15000.0,13000.0,126000.0,145000.0,10500.0,3.405,-0.09090909090909094,10.435589701349883,0.002435383618613951,False,False,False,13.66622400280318
71,2021-12-15,2.0,176800.0,15450.0,13000.0,126000.0,145000.0,22000.0,2.54,-0.02598025117438396,9.214227991227416,-0.051622409463427,False,False,False,13.66622400280318
72,2022-05-18,1.0,25400.0,1250.0,2700.0,15536.310711720827,11800.0,20000.0,2.83125,-0.1289801568989387,9.219739678427496,-0.12802332008111805,False,False,False,11.398743691938193
73,2021-06-17,4.0,26000.0,1600.0,1980.0,18178.83711264709,13000.0,20000.0,2.42,-0.03190319031903199,9.225251365627578,-0.11635511727193748,False,False,False,10.951284714966972
74,2021-06-17,1.0,15600.0,630.0,990.0,10855.26394436574,7100.0,20000.0,2.42,-0.03190319031903199,9.225251365627578,-0.11635511727193748,False,False,False,9.951284714966972
75,2021-06-17,2.0,14000.0,500.0,810.0,9873.754138307417,5630.0,20000.0,2.42,-0.03190319031903199,9.225251365627578,-0.11635511727193748,False,False,False,9.661778097771988
76,2021-02-04,5.0,56400.0,2500.0,3100.0,7800.0,25628.024126383247,400.0,1.994,-0.02731707317073162,7.861690648735451,-0.02046424461424845,False,False,True,11.5980525001616
77,2021-02-04,5.0,54700.0,1600.0,3476.0026678798463,18178.83711264709,16830.48559388653,20000.0,1.994,-0.02731707317073162,7.861690648735451,-0.02046424461424845,False,False,False,11.763213474103107
78,2021-06-10,1.0,51000.0,2800.0,4000.0,27238.927630108545,21500.0,20000.0,2.50075,-0.016517549896765238,9.898763142026676,-0.06037465818854182,False,False,False,11.965784284662087
79,2022-12-06,21.0,252600.0,15000.0,16000.0,119349.84789096672,160000.0,30000.0,2.5035,0.051780275181178226,8.402926137319989,0.026113911257323874,False,False,False,13.965784284662087
80,2020-12-01,1.0,74500.0,6500.0,10000.0,55174.20672561471,80000.0,6600.0,2.05275,0.12156809179073913,7.64563734622777,0.13947757384748294,False,False,False,13.287712379549449
81,2020-12-01,3.0,74500.0,3250.0,10000.0,100000.0,80000.0,6600.0,2.05275,0.12156809179073913,7.64563734622777,0.13947757384748294,False,False,False,13.287712379549449
82,2020-12-01,3.0,74500.0,6500.0,10000.0,100000.0,80000.0,6600.0,2.05275,0.12156809179073913,7.64563734622777,0.13947757384748294,False,False,False,13.287712379549449
83,2020-07-05,26.0,128000.0,10000.0,17000.0,97000.0,98940.84523052254,11000.0,1.61775,0.013151714419915583,6.026340860982331,0.06902623676727893,False,False,False,14.053247125912426
84,2020-11-28,1.0,70000.0,5000.0,8000.0,43000.0,50065.631161096346,11000.0,1.97775,0.09798750867453143,7.494620480935459,0.11385971238532933,False,False,False,12.965784284662087
85,2020-11-28,1.0,70000.0,2000.0,8000.0,43000.0,20740.502719440625,11500.0,1.97775,0.09798750867453143,7.494620480935459,0.11385971238532933,False,False,False,12.965784284662087
86,2020-11-28,1.0,70000.0,5000.0,8000.0,43000.0,50065.631161096346,11500.0,1.97775,0.09798750867453143,7.494620480935459,0.11385971238532933,False,False,False,12.965784284662087
87,2021-12-14,2.0,148000.0,15000.0,21000.0,75000.0,120000.0,22000.0,2.569,-0.028825252811643498,9.378472695550553,-0.04522498782890716,False,False,False,14.358101707440847
88,2021-12-14,2.0,149000.0,15000.0,7500.0,21000.0,120000.0,22000.0,2.569,-0.028825252811643498,9.378472695550553,-0.04522498782890716,False,False,False,12.872674880270605
89,2021-12-14,3.0,149000.0,7500.0,8716.654798160449,10000.0,74503.23819580945,22000.0,2.569,-0.028825252811643498,9.378472695550553,-0.04522498782890716,False,False,False,13.089558860943333
90,2021-09-27,2.0,172000.0,15000.0,28000.0,120000.0,147816.05929994874,34500.0,2.92325,0.09076492537313419,9.465554830319402,-0.0053284465029384,False,False,False,14.77313920671969
91,2021-05-04,5.0,120000.0,15000.0,18000.0,118000.0,147816.05929994874,6000.0,2.436,0.09017677332736618,10.000175873765103,0.1330085655604345,False,False,False,14.1357092861044
92,2021-08-31,1.0,57800.0,6113.0,7484.65742448262,52252.32753373339,8100.0,6000.0,2.74625,0.046489473182814045,9.612162766350384,-0.02689433808449948,False,False,False,12.869720569775374
93,2022-05-24,3.0,132000.0,5000.0,6496.039488719516,27000.0,49000.0,450.0,2.8745,-0.10256009990633785,9.536102954734854,-0.0560829177418698,True,True,False,12.665344687198516
94,2022-05-24,1.0,660000.0,5400.0,1000.0,46869.12375127504,53975.64828665044,30000.0,2.8745,-0.10256009990633785,9.536102954734854,-0.0560829177418698,False,False,False,9.965784284662087
95,2023-03-17,3.0,46700.0,2000.0,2340.0,21198.86728513424,16000.0,22000.0,2.22925,-0.0532965282938741,8.627797823973745,-0.03418064502463036,False,False,False,11.192292814470767
96,2020-09-11,12.0,183333.0,6000.0,12200.0,51399.16901000577,66000.0,36000.0,1.7645,0.0017030939540163548,6.688830314228111,0.05091784956523093,False,False,False,13.57459352733761
97,2022-08-02,1.0,150000.0,8000.0,9500.0,66499.31987244153,79390.75960275205,33000.0,2.3865,-0.0011509888040180938,7.770198533458431,-0.02611220390869451,False,False,False,13.213711798105672
98,2022-08-02,1.0,150000.0,8000.0,9500.0,66499.31987244153,90000.0,33000.0,2.3865,-0.0011509888040180938,7.770198533458431,-0.02611220390869451,False,False,False,13.213711798105672
99,2022-08-02,1.0,22000.0,8000.0,9500.0,90000.0,90000.0,33000.0,2.3865,-0.0011509888040180938,7.770198533458431,-0.02611220390869451,False,False,False,13.213711798105672
100,2022-09-09,2.0,37250.0,1800.0,2160.0,19688.852198890665,14500.0,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,False,False,False,11.076815597050832
101,2022-09-09,1.0,30710.0,1500.0,1877.0,17423.829569525296,12429.0,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,True,False,False,10.874212934830874
102,2022-09-09,2.0,11340.0,250.0,468.0,3400.0,3400.0,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,False,False,False,8.870364719583405
103,2022-09-09,2.0,11340.0,250.0,468.0,7986.235280502946,3400.0,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,False,False,False,8.870364719583405
